district,FV,BV,CAGR
Jangaon,0,2,-100
Mahbubnagar,440,868,-20.27
"Jayashankar Bhoopalpally",45,86,-19.42
Adilabad,6,10,-15.66
"Warangal (Urban)",2450,1899,8.86
