district,FV,BV,CAGR
Mancherial,269810,7802,225.8
"Warangal (Rural)",353500,19400,163.15
"Bhadradri Kothagudem",12817737,889030,143.39
Siddipet,2987864,358400,102.77
Jangaon,328890,40660,100.74
